,Location Name,City,DOE Need (with Truancy),Crime,Obesity,6-8 attendance,Need Score,Latitude,Longitude
0,0,5,14,3,94,35,31,31.457,-102.429
1,1,5,13,86,94,69,11,32.209,-101.272
2,2,0,3,11,27,29,64,32.232,-102.892
3,3,4,25,91,83,89,69,31.859,-102.098
4,4,3,75,35,0,97,20,32.429,-101.269
5,5,2,35,19,27,97,43,31.209,-102.621
6,6,3,12,45,44,77,33,32.652,-102.823
7,7,5,58,68,15,48,10,32.13,-101.8
8,8,5,79,46,73,24,90,31.142,-102.813
9,9,5,29,98,37,10,29,32.774,-102.587
10,10,3,35,58,81,46,20,31.758,-101.545
11,11,1,85,34,89,87,82,31.146,-100.505
12,12,5,21,68,93,31,20,31.946,-101.446
13,13,2,81,88,71,28,87,31.664,-102.771
14,14,1,4,40,51,34,8,31.432,-100.677
15,15,5,40,27,83,63,50,32.811,-100.367
16,16,3,18,33,17,31,95,32.149,-100.793
17,17,2,95,74,54,74,51,31.741,-102.102
18,18,1,65,63,11,96,6,32.763,-102.551
19,19,1,80,20,87,54,76,31.13,-101.424
20,20,3,76,59,67,32,70,32.762,-102.953
21,21,5,92,14,87,68,96,31.546,-100.375
22,22,2,14,37,55,20,58,31.006,-100.043
23,23,5,33,64,97,22,64,32.869,-102.565
24,24,5,38,81,64,77,25,31.313,-101.469
25,25,1,69,99,67,0,76,31.663,-100.999
26,26,0,14,46,39,30,7,31.493,-100.677
27,27,0,10,93,62,8,97,32.09,-102.485
28,28,1,84,60,70,21,33,32.08,-100.516
29,29,3,27,69,96,93,88,31.411,-100.08
30,30,2,51,85,83,47,56,32.842,-100.881
31,31,3,15,31,28,8,43,31.043,-100.591
32,32,4,29,75,28,0,9,32.449,-100.416
33,33,0,29,8,4,42,9,32.052,-102.026
34,34,2,85,62,27,69,16,32.481,-100.662
35,35,4,60,31,100,60,52,31.389,-102.614
36,36,0,84,55,45,54,52,31.956,-100.014
37,37,0,86,83,82,12,7,31.824,-100.018
38,38,2,13,31,24,24,68,31.918,-102.426
39,39,3,23,35,59,31,9,31.907,-100.746
40,40,0,6,83,69,1,11,32.897,-102.032
41,41,1,52,62,61,27,51,32.848,-102.76
42,42,1,48,0,49,33,100,32.607,-101.137
43,43,2,54,89,93,100,71,32.355,-100.058
44,44,3,19,24,37,27,7,32.186,-100.78
45,45,0,95,40,7,6,74,31.976,-100.941
46,46,4,20,7,65,10,23,31.14,-100.563
47,47,0,86,30,51,15,72,31.504,-100.629
48,48,4,5,79,10,53,84,32.195,-100.685
49,49,4,40,33,26,85,91,31.643,-102.023
50,50,2,50,16,85,82,38,31.936,-101.705
51,51,0,1,58,79,72,12,31.15,-100.798
52,52,1,64,33,16,44,8,32.8,-102.0
53,53,2,36,20,56,69,90,31.619,-100.495
54,54,5,67,1,85,70,38,32.908,-100.283
55,55,0,17,33,14,13,95,32.133,-102.364
56,56,2,36,77,26,91,43,31.416,-100.185
57,57,5,33,64,62,32,6,31.189,-100.402
58,58,3,35,5,0,42,98,31.267,-100.391
59,59,2,20,94,56,70,90,31.875,-100.703
60,60,0,14,9,88,19,69,31.073,-101.488
61,61,4,70,18,55,16,5,31.631,-101.507
62,62,0,45,26,87,31,85,31.21,-101.552
63,63,4,52,79,95,19,30,32.77,-102.335
64,64,1,52,3,22,94,42,32.602,-101.314
65,65,5,94,31,34,20,100,32.436,-102.558
66,66,3,4,60,28,25,58,31.716,-101.75
67,67,1,28,3,84,24,51,31.672,-101.859
68,68,0,98,35,44,82,65,31.818,-100.217
69,69,4,42,3,14,33,22,32.189,-101.913
70,70,0,13,76,55,44,93,32.61,-101.716
71,71,3,77,65,14,49,73,31.389,-101.957
72,72,0,90,55,0,66,68,32.406,-100.054
73,73,5,94,85,25,46,55,31.143,-100.28
74,74,2,79,40,84,15,92,32.843,-101.77
75,75,4,39,85,52,41,51,32.427,-101.789
76,76,4,16,24,53,85,48,32.387,-102.288
77,77,4,72,38,51,70,0,31.622,-101.825
78,78,1,55,100,74,77,83,31.659,-101.096
79,79,3,56,86,27,65,60,32.625,-102.305
80,80,5,10,36,65,84,81,32.268,-101.628
81,81,0,96,30,86,39,28,32.651,-102.185
82,82,1,3,5,31,60,78,32.74,-102.702
83,83,3,53,80,73,24,91,32.426,-101.428
84,84,3,51,31,18,83,88,31.011,-102.564
85,85,3,28,22,89,66,59,31.102,-100.717
86,86,1,15,58,17,59,85,32.087,-100.711
87,87,4,40,96,56,78,92,32.826,-100.933
88,88,3,70,57,20,95,60,31.921,-101.939
89,89,1,81,35,98,99,66,31.992,-100.433
90,90,1,35,56,9,91,36,31.48,-101.888
91,91,2,40,69,10,17,19,31.473,-101.432
92,92,5,19,90,27,8,53,31.834,-101.645
93,93,4,59,53,7,26,53,31.797,-100.608
94,94,5,2,97,73,48,61,31.012,-101.56
95,95,2,96,49,53,68,95,32.504,-100.764
96,96,4,28,62,28,34,55,31.994,-102.882
97,97,3,43,85,86,51,92,31.338,-101.086
98,98,1,79,68,3,50,75,32.155,-100.285
99,99,0,10,82,54,17,59,31.372,-102.795
100,100,2,48,41,27,58,41,31.691,-101.448
101,101,2,96,53,32,10,60,31.039,-100.791
